league,games,minutes,pts,offReb,defReb,reb,asts,stl,blk,turnover,pf,fga,fgm,fta,ftm,tpa,tpm,totalSeasons,Position,firstSeason,lastSeason,careerEnded,yrsRetired2004,class
N,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,F,1946,1946,1,58,0
N,435,10952,4406,609,1592,2201,1262,566,184,684,1020,3921,1769,1140,803,289,65,9,F,1986,1994,1,10,0
N,173,1775,913,0,0,326,300,0,0,0,514,1076,292,463,329,0,0,4,F,1949,1952,1,52,0
N,118,396,907,0,0,44,249,0,0,0,329,868,265,525,377,0,0,4,G,1948,1951,1,53,0
N,745,21889,7337,0,0,2302,3160,0,0,0,2238,7224,2632,2720,2073,0,0,11,G,1949,1959,1,45,1
N,13,79,27,5,11,16,7,6,0,5,11,28,10,8,6,3,1,2,G,1995,1996,1,8,0
N,47,0,224,0,0,0,19,0,0,0,117,285,81,110,62,0,0,2,F,1947,1948,1,56,0
N,162,3450,1358,33,145,178,640,114,22,240,230,1084,507,321,263,208,81,11,G,1971,1981,1,23,0
N,720,9739,3301,688,1460,2148,440,226,248,440,1680,3007,1379,684,538,36,5,15,C,1985,1999,1,5,0
A,324,6221,2123,0,619,1453,294,137,27,326,846,1965,915,358,292,8,1,9,F,1967,1975,1,29,0
A,7,52,20,0,0,19,0,0,0,5,11,18,4,17,12,0,0,1,F,1972,1972,1,32,0
N,237,4240,1870,177,328,505,325,179,45,254,417,1595,733,488,385,78,19,5,G,1989,1993,1,11,0
N,403,5374,1454,382,787,1169,143,182,282,253,1135,1099,583,438,288,1,0,8,F,1995,2002,1,2,0
A,245,4554,2158,0,0,375,504,0,0,125,483,2010,790,469,406,596,172,4,G,1968,1971,1,33,0
N,225,2500,835,240,434,674,46,34,60,146,351,752,317,301,201,4,0,5,C,1996,2000,1,4,0
N,192,3868,1619,0,0,791,353,0,0,0,421,1489,564,608,491,0,0,4,G,1956,1959,1,45,0
N,151,0,617,0,0,0,49,0,0,0,185,854,239,272,139,0,0,3,F,1946,1948,1,56,0
N,115,1838,628,79,135,214,183,73,17,0,227,645,254,158,120,0,0,2,G,1974,1975,1,29,0
N,252,3986,1654,206,341,547,154,101,80,232,492,1393,609,444,366,202,70,7,F,1997,2003,1,1,0
A,125,1729,728,0,0,235,152,0,0,119,240,745,279,173,139,95,31,2,G,1967,1968,1,36,0
N,620,14395,5400,351,967,1318,3080,910,58,1240,1358,4560,1993,1744,1373,157,41,10,G,1981,1990,1,14,0
N,7,72,11,0,0,13,4,0,0,0,12,21,2,12,7,0,0,1,G,1954,1954,1,50,0
N,181,2087,487,186,385,571,68,46,105,122,227,432,177,201,132,6,1,4,F,2001,2004,0,0,0
N,7,26,8,5,6,11,0,0,2,2,5,8,3,2,2,0,0,1,F,1990,1990,1,14,0
N,245,7356,2365,142,712,854,1755,428,87,706,693,2208,880,529,382,704,223,4,G,2001,2004,0,0,0
N,52,0,103,0,0,0,19,0,0,0,83,166,33,60,37,0,0,3,F,1946,1948,1,56,0
N,60,0,318,0,0,0,29,0,0,0,78,429,120,127,78,0,0,1,G,1946,1946,1,58,0
N,9,76,10,0,0,6,10,0,0,0,12,7,2,6,6,0,0,1,G,1972,1972,1,32,0
N,563,12830,4848,1286,1719,3005,377,344,273,683,1316,4057,1886,1682,1071,26,5,10,F,1995,2004,0,0,0
N,675,19975,10163,470,1052,1522,3436,761,89,1717,1706,8436,4015,2564,2029,319,104,10,G,1977,1986,1,18,0
N,329,5241,1455,431,922,1353,162,97,546,362,820,1269,608,394,239,3,0,11,C,1980,1990,1,14,0
N,18,401,148,0,0,83,26,0,0,0,52,170,59,47,30,0,0,1,F,1957,1957,1,47,0
N,338,8433,2813,465,898,1363,896,430,143,67,801,2554,1160,614,493,0,0,5,G,1973,1977,1,27,0
N,586,15633,8553,219,868,1087,2079,487,46,963,1107,7943,3514,1161,1051,1339,474,11,G,1990,2000,1,4,0
N,1043,38940,20941,264,481,14241,2544,52,48,0,3536,15340,7914,8088,5113,0,0,14,C,1961,1974,1,30,1
A,215,3903,1652,0,668,873,317,88,59,292,372,1440,716,272,216,17,4,3,F,1972,1974,1,30,0
A,59,993,440,0,0,147,84,0,0,145,165,385,147,216,140,25,6,1,G,1968,1968,1,36,0
N,11,68,27,0,0,26,2,0,0,0,13,27,10,8,7,0,0,1,F,1963,1963,1,41,0
N,259,3513,1450,336,432,768,145,91,56,243,503,1037,502,709,446,2,0,9,F,1994,2002,1,2,0
N,259,0,2046,0,0,141,311,0,0,0,668,2659,744,777,558,0,0,5,F,1946,1950,1,54,0
N,132,1372,470,45,96,141,138,71,3,96,147,469,195,122,78,22,2,3,G,1985,1987,1,17,0
N,28,206,70,0,0,31,28,0,0,0,20,90,28,17,14,0,0,1,G,1957,1957,1,47,0
N,468,11785,3214,230,687,917,2194,548,61,833,1445,2817,1150,1101,913,13,1,8,G,1976,1983,1,21,0
N,548,14879,3464,337,1169,1506,715,481,246,443,1264,3143,1271,761,429,1292,493,9,F,1996,2004,0,0,0
N,324,5410,2387,350,399,749,232,187,52,330,520,1919,971,652,444,13,1,5,F,1982,1986,1,18,0
N,325,5344,1558,0,0,1397,231,0,0,0,915,1651,623,449,312,0,0,5,C,1953,1957,1,47,0
A,377,9196,3611,0,834,1217,1368,638,63,901,1234,3152,1419,979,746,124,27,8,G,1971,1978,1,26,0
N,876,31159,16481,344,1015,2046,6476,719,81,1123,2002,12628,5899,5760,4664,85,19,14,G,1970,1983,1,21,1
N,102,2195,960,29,113,142,194,69,14,135,211,966,353,211,163,286,91,3,G,2002,2004,0,0,0
N,21,216,104,11,7,18,17,12,0,0,22,93,42,32,20,0,0,7,G,1967,1973,1,31,0
N,379,10795,5284,367,679,1046,1273,420,52,758,1020,4703,2134,1155,986,89,30,13,G,1968,1980,1,24,0
N,260,6182,1885,169,586,755,419,228,111,401,578,1797,783,438,313,43,6,5,F,1997,2001,1,3,0
N,55,595,262,40,39,79,38,25,4,47,80,216,109,58,42,12,2,1,G,2000,2000,1,4,0
N,494,11569,7147,0,0,1294,1516,0,0,0,1267,6082,2775,1881,1597,0,0,8,G,1966,1973,1,31,0
A,8,29,18,0,0,13,2,0,0,0,10,15,7,8,4,0,0,1,C,1970,1970,1,34,0
A,71,1055,260,0,0,306,39,0,0,33,197,244,116,93,28,0,0,3,C,1970,1972,1,32,0
N,128,1768,431,43,100,288,79,58,10,0,236,480,183,86,65,0,0,5,G,1972,1976,1,28,0
N,73,415,168,17,25,42,32,17,5,20,64,148,61,40,28,58,18,4,G,1991,1994,1,10,0
N,30,112,48,10,15,25,3,7,1,0,31,44,19,17,10,0,0,1,F,1973,1973,1,31,0
N,792,20930,9169,61,214,1928,2280,102,13,0,1370,8174,4001,1381,1167,0,0,11,G,1965,1975,1,29,0
N,119,1729,833,75,108,183,121,62,8,98,186,738,298,191,160,224,77,6,G,1991,1996,1,8,0
N,926,29636,17454,260,976,2796,3594,473,121,305,2416,14898,6906,4513,3642,0,0,13,G,1967,1979,1,25,1
N,743,17294,6945,554,1215,5525,1201,151,79,0,2023,5452,2611,2239,1723,0,0,10,C,1967,1976,1,28,0
A,70,1590,852,0,0,329,66,0,0,81,173,686,306,336,238,5,2,1,F,1967,1967,1,37,0
N,6,0,15,0,0,0,7,0,0,0,7,17,6,8,3,0,0,1,G,1949,1949,1,55,0
N,48,363,123,0,0,41,55,0,0,0,54,147,50,29,23,0,0,1,G,1968,1968,1,36,0
N,142,1925,848,0,0,395,94,9,0,4,235,650,295,346,258,0,0,4,F,1968,1971,1,33,0
N,93,1260,464,73,88,161,89,65,27,88,173,406,198,92,68,2,0,3,F,1979,1981,1,23,0
N,53,398,118,0,0,46,73,0,0,0,34,135,49,36,20,0,0,1,G,1970,1970,1,34,0
N,637,12690,7633,0,0,5011,1058,0,0,0,2449,6850,2610,3451,2413,0,0,10,C,1948,1957,1,47,1
N,1094,33638,14463,1128,2956,4084,7987,1616,215,2862,2048,11928,5418,4759,3432,691,195,17,G,1988,2004,0,0,0
N,120,2080,1131,0,0,254,190,0,0,0,245,1289,500,175,131,0,0,2,G,1971,1972,1,32,0
N,51,0,176,0,0,0,51,0,0,0,104,195,62,88,52,0,0,1,G,1948,1948,1,56,0
N,6,0,18,0,0,0,3,0,0,0,10,17,6,7,6,0,0,1,G,1948,1948,1,56,0
N,576,15556,8729,979,2188,3167,1124,413,171,1099,1621,7367,3490,2226,1745,27,4,9,F,1981,1989,1,15,0
N,859,25148,8825,2047,4500,6547,996,407,879,1295,2426,6930,3105,3587,2613,22,2,12,F,1993,2004,0,0,0
N,191,4282,1658,371,866,1237,172,88,106,0,457,1502,721,322,216,0,0,3,C,1974,1976,1,28,0
N,340,4487,1482,422,778,1200,119,95,114,301,796,1322,614,381,254,3,0,5,C,1980,1984,1,20,0
N,81,1357,378,39,137,176,57,32,28,43,124,327,128,64,55,170,67,2,F,2003,2004,0,0,0
N,353,8583,3041,73,584,657,1235,217,6,449,723,2682,1171,516,419,739,280,7,G,1998,2004,0,0,0
N,1159,28435,12740,941,1595,2536,1688,1064,246,1656,3199,9671,4456,3984,3228,1786,600,16,F,1986,2001,1,3,0
N,3,13,0,0,1,1,1,0,0,2,3,2,0,0,0,1,0,1,F,2000,2000,1,4,0
N,42,0,197,0,0,0,85,0,0,0,72,231,78,58,41,0,0,1,G,1949,1949,1,55,0
A,1,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,G,1969,1969,1,35,0
N,334,6637,4070,0,0,1609,961,0,0,0,1130,3826,1345,1677,1380,0,0,5,F,1949,1953,1,51,0
N,59,736,196,59,126,185,16,21,8,52,157,175,76,55,43,3,1,1,C,2004,2004,0,0,0
A,38,857,300,0,0,269,23,0,0,38,121,280,120,99,58,2,2,1,C,1967,1967,1,37,0
N,52,382,167,0,0,106,35,0,0,0,67,134,69,40,29,0,0,1,F,1970,1970,1,34,0
N,134,1654,527,33,133,166,266,64,4,143,95,526,202,121,93,85,30,4,G,2001,2004,0,0,0
N,768,27828,12599,633,2623,3256,2457,1395,535,1338,2086,9961,4395,3090,2508,3434,1301,11,G,1994,2004,0,0,0
N,705,22838,12455,1690,3714,5404,1264,687,1122,1964,2212,10583,5021,3232,2413,13,0,11,C,1980,1990,1,14,0
N,674,17167,7813,1506,3493,4999,923,484,296,1438,2153,5998,3057,2479,1696,38,3,10,F,1977,1986,1,18,0
N,139,2130,569,194,371,565,296,52,71,191,256,510,229,218,111,0,0,2,C,1977,1978,1,26,0
N,270,3726,1118,367,813,1180,94,110,144,213,482,1071,455,384,206,15,2,6,C,1998,2003,1,1,0
N,276,8171,3760,276,566,842,922,475,44,408,747,3558,1608,681,544,0,0,4,G,1975,1978,1,26,0
N,454,13472,5833,798,2035,2833,1498,514,361,982,1106,5179,2242,1694,1306,141,43,7,F,1990,1996,1,8,0
N,529,16104,7202,250,1274,1524,2433,520,80,1048,1168,5534,2263,2091,1836,2212,840,8,G,1997,2004,0,0,0
N,134,1795,627,138,189,327,106,98,31,91,214,482,243,189,137,30,4,4,G,1989,1992,1,12,0
A,132,2351,1030,0,0,634,160,0,0,157,226,1054,465,111,91,40,9,7,G,1963,1969,1,35,0
N,23,258,75,0,0,18,24,0,0,0,44,79,25,37,25,0,0,1,G,1953,1953,1,51,0
A,407,16550,11662,0,2738,4924,1952,764,648,1617,1208,9094,4581,3102,2412,273,88,16,F,1971,1986,1,18,1
A,686,24038,11660,0,679,2661,2883,355,21,1368,2016,9613,4161,3741,3063,983,275,11,G,1966,1976,1,28,0
N,36,405,106,9,35,44,54,16,2,43,37,100,33,46,31,29,9,1,G,1995,1995,1,9,0
N,45,356,118,52,76,128,8,8,13,26,86,98,47,43,24,1,0,1,C,2004,2004,0,0,0
N,57,0,244,0,0,0,42,0,0,0,120,343,90,112,64,0,0,1,F,1946,1946,1,58,0
A,72,1869,596,0,163,163,202,82,9,126,166,613,250,123,93,18,3,3,G,1974,1976,1,28,0
N,312,7859,2997,128,482,610,1594,190,14,93,656,3052,1268,511,461,0,0,5,G,1973,1977,1,27,0
N,641,18071,11234,0,0,4325,2079,0,0,0,1667,8589,3742,4929,3750,0,0,10,C,1949,1958,1,46,1
N,201,2835,1033,123,384,852,182,79,70,87,357,1060,436,222,161,0,0,7,C,1971,1977,1,27,0
N,22,227,71,18,27,45,12,12,3,11,14,84,30,10,7,21,4,4,F,1996,1999,1,5,0
N,698,23590,11655,139,481,1860,2429,253,36,0,1735,10039,4624,2903,2407,0,0,9,G,1967,1975,1,29,0
A,234,7367,3046,0,0,1638,505,0,0,295,849,2925,1244,752,552,20,6,10,F,1960,1969,1,35,0
A,137,2590,1481,0,0,675,162,0,0,149,429,1114,612,372,257,0,0,8,C,1962,1969,1,35,0
N,963,40726,14522,0,0,21620,4100,0,0,0,2592,12930,5687,5614,3148,0,0,13,C,1956,1968,1,36,1
N,323,6606,4738,256,254,510,516,247,18,568,533,4198,1959,841,693,384,127,8,G,1978,1985,1,19,0
N,901,32769,18327,418,741,3420,5397,483,89,216,2615,15769,6962,5683,4403,0,0,12,G,1966,1977,1,27,1
N,24,144,69,0,0,40,7,0,0,0,14,83,31,11,7,0,0,1,F,1971,1971,1,33,0
N,2,9,4,0,2,2,3,1,0,2,2,3,2,0,0,0,0,1,G,1980,1980,1,24,0
N,29,0,73,0,0,0,7,0,0,0,20,108,24,34,25,0,0,1,G,1946,1946,1,58,0
N,1611,45712,23334,4598,10117,14715,2180,1219,2361,3183,4443,17914,9614,5694,4106,6,0,21,C,1976,1996,1,8,1
N,569,13353,5545,903,1214,2117,853,455,163,788,1133,4539,2125,1642,1292,36,3,8,F,1980,1987,1,17,0
N,15,119,28,7,16,23,8,1,1,15,18,37,10,12,8,0,0,1,F,1983,1983,1,21,0
N,39,507,175,14,51,65,53,21,8,24,69,155,66,27,19,67,24,1,G,2004,2004,0,0,0
N,70,906,245,65,175,240,56,32,58,64,144,182,106,83,33,1,0,2,C,1984,1985,1,19,0
A,47,355,158,0,0,101,21,0,0,54,82,133,58,59,42,0,0,1,F,1972,1972,1,32,0
N,42,345,117,38,40,78,12,6,4,32,40,98,43,59,31,0,0,1,F,1991,1991,1,13,0
A,148,1977,947,0,298,298,219,76,12,178,149,903,414,140,108,42,11,3,G,1973,1975,1,29,0
N,202,1151,1591,0,0,261,648,0,0,0,669,1128,405,931,781,0,0,4,G,1949,1952,1,52,1
N,426,11632,4204,0,0,1217,1427,0,0,0,915,4510,1574,1418,1056,0,0,7,G,1956,1962,1,42,0
N,231,0,1507,0,0,0,630,0,0,0,609,1737,535,642,437,0,0,4,G,1946,1949,1,55,0
N,11,91,17,4,4,8,6,3,0,6,11,35,8,0,0,5,1,1,G,2002,2002,1,2,0
N,351,5791,2069,0,0,2212,201,0,0,0,1123,2244,833,613,403,0,0,12,C,1952,1963,1,41,0
N,86,1773,504,25,122,147,295,79,13,128,177,490,170,189,145,82,19,2,G,2003,2004,0,0,0
N,742,24502,10544,819,2385,3204,1897,576,284,1328,1626,8290,3852,2816,2251,1572,589,12,F,1989,2000,1,4,0
A,96,1454,299,0,0,300,244,0,0,26,246,346,116,101,57,44,10,8,G,1963,1970,1,34,0
N,79,1612,689,52,141,193,237,78,3,117,199,628,286,107,73,141,44,1,G,2004,2004,0,0,0
A,144,5563,3465,0,1927,1927,399,220,271,537,601,2916,1458,779,546,14,3,6,F,1974,1979,1,25,0
N,280,7476,3533,964,1839,2803,292,317,329,557,950,3014,1457,824,613,34,6,9,F,1986,1994,1,10,0
N,21,0,135,0,0,0,14,0,0,0,48,110,46,70,43,0,0,1,F,1948,1948,1,56,0
A,22,183,58,0,0,27,11,0,0,0,34,72,22,13,10,13,4,1,F,1969,1969,1,35,0
N,176,3179,1441,75,264,339,288,151,11,214,263,1355,537,282,235,429,132,3,G,2002,2004,0,0,0
N,415,7318,1990,681,1384,2065,190,255,325,269,993,1535,765,650,460,2,0,8,C,1997,2004,0,0,0
N,93,586,127,46,150,196,11,16,15,30,106,101,50,41,27,0,0,3,C,2000,2002,1,2,0
N,118,695,289,0,0,238,58,0,0,0,196,389,116,92,57,0,0,2,C,1950,1951,1,53,0
N,211,3822,1378,0,0,527,386,0,0,0,429,1252,481,594,416,0,0,5,G,1954,1958,1,46,0
A,69,1181,338,0,0,456,71,0,0,117,199,361,130,143,77,7,1,1,F,1967,1967,1,37,0
N,1,2,4,0,0,0,0,0,0,0,0,1,1,2,2,0,0,1,F,1990,1990,1,14,0
N,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,F,1988,1988,1,16,0
N,850,19481,8901,231,1378,1609,2837,740,46,1213,1074,7148,3281,1456,1249,2652,1090,15,G,1989,2003,1,1,0
N,493,11338,3625,940,1953,2893,1061,455,758,921,1460,2874,1536,857,548,42,5,12,C,1992,2003,1,1,0
A,53,602,102,0,0,39,100,0,0,0,89,87,32,70,38,2,0,1,G,1969,1969,1,35,0
N,77,1057,499,75,86,161,77,32,25,76,123,525,222,84,55,9,0,2,G,1978,1979,1,25,0
N,568,12128,6924,0,0,1979,1830,0,0,0,1275,5768,2268,2976,2388,0,0,9,G,1948,1956,1,48,1
N,92,987,370,33,91,124,112,38,3,77,146,303,131,126,84,72,24,2,G,2003,2004,0,0,0
N,658,24316,15948,426,1421,2747,3563,587,108,530,1865,14025,6187,4344,3564,15,10,10,G,1970,1979,1,25,1
N,143,1395,329,80,130,210,50,55,46,88,207,266,121,121,87,8,0,6,F,1994,1999,1,5,0
N,627,10853,3088,661,1331,1992,847,404,371,617,1034,2436,1171,1012,742,20,4,8,F,1977,1984,1,20,0
N,1077,38064,17772,118,279,5030,7211,174,26,0,3285,14327,6189,6973,5394,0,0,15,G,1960,1974,1,30,1
N,402,7304,3235,144,444,588,1034,213,37,617,829,2632,1082,954,743,867,328,6,G,1993,1998,1,6,0
N,186,737,1084,0,0,510,327,0,0,0,538,1312,434,348,216,0,0,3,F,1949,1951,1,53,0
N,165,0,1961,0,0,0,572,0,0,0,542,2633,767,604,427,0,0,3,G,1946,1948,1,56,0
N,52,192,53,29,38,67,2,2,8,6,33,60,20,20,13,2,0,2,G,1990,1991,1,13,0
N,60,543,257,31,36,67,32,20,7,34,86,248,109,40,30,25,9,3,F,1982,1984,1,20,0
N,58,685,134,16,62,78,47,29,6,29,57,148,57,20,10,24,10,1,F,2002,2002,1,2,0
N,296,5833,2356,394,840,1234,400,224,149,353,979,2399,1020,405,313,36,3,5,F,1991,1995,1,9,0
N,35,0,50,0,0,0,8,0,0,0,20,50,18,29,14,0,0,2,C,1948,1949,1,55,0
N,251,5018,1685,173,294,467,428,349,20,323,587,1806,694,358,263,126,34,8,G,1991,1998,1,6,0
N,574,9536,2622,168,541,709,1674,507,37,472,536,2253,984,551,460,594,194,11,G,1984,1994,1,10,0
N,386,3457,906,309,711,1020,148,64,133,243,645,758,338,347,230,7,0,7,C,1984,1990,1,14,0
N,179,1902,721,145,307,452,99,54,46,144,237,635,285,233,151,2,0,4,F,1990,1993,1,11,0
N,212,6079,2275,466,853,1319,401,293,154,458,741,1635,849,905,577,7,0,3,F,2002,2004,0,0,0
N,183,3131,1218,90,181,271,394,142,15,216,372,1122,485,267,217,104,31,3,F,1991,1993,1,11,0
N,73,1983,780,50,131,181,225,66,6,0,203,691,306,214,168,0,0,6,G,1969,1974,1,30,0
A,306,6283,1995,0,0,601,1002,0,0,229,538,2029,764,457,365,358,102,5,G,1967,1971,1,33,0
N,12,90,17,6,16,22,1,0,5,7,18,25,7,5,3,0,0,1,F,1980,1980,1,24,0
N,586,10507,6362,0,0,2747,1153,0,0,0,2113,6158,2276,2385,1810,0,0,10,C,1947,1956,1,48,0
N,1,2,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,C,1953,1953,1,51,0
N,384,6219,2152,0,0,683,596,0,0,0,687,2170,781,798,590,0,0,6,G,1949,1954,1,50,0
N,5,10,1,0,2,2,0,0,0,2,4,0,0,2,1,0,0,1,C,2004,2004,0,0,0
N,60,851,269,16,59,75,90,29,19,50,111,289,123,33,23,0,0,1,G,1977,1977,1,27,0
N,2,8,4,2,3,5,1,0,1,0,5,3,2,0,0,0,0,1,F,1983,1983,1,21,0
N,16,128,37,15,11,26,3,6,5,6,24,30,15,18,7,0,0,1,F,1989,1989,1,15,0
N,604,15332,6596,516,1139,1655,1609,825,197,1138,1028,6259,2650,1395,1120,525,176,13,G,1988,2000,1,4,0
N,515,10661,4128,0,0,3177,429,0,0,0,1539,4188,1696,975,736,0,0,7,C,1957,1963,1,41,0
N,682,19660,10473,711,760,1990,1878,433,66,470,1394,9714,4359,2181,1753,13,2,10,G,1971,1980,1,24,0
N,151,1093,356,32,61,93,257,85,4,110,166,338,115,101,69,187,57,4,G,1992,1995,1,9,0
N,412,5551,1602,388,616,1004,291,164,76,236,933,1263,567,455,357,328,111,9,F,1988,1996,1,8,0
N,509,16305,11264,737,1184,1921,1631,459,407,1129,1287,8365,4213,3616,2815,83,23,9,G,1975,1983,1,21,1
N,38,315,90,0,0,48,47,0,0,0,62,84,34,39,22,0,0,1,G,1970,1970,1,34,0
N,421,12155,5597,0,0,1748,1114,0,0,0,1168,5019,2022,1974,1553,0,0,6,G,1955,1960,1,44,0
N,278,2707,980,345,482,827,77,35,39,223,374,707,362,467,256,0,0,9,C,1982,1990,1,14,0
A,72,1272,437,0,308,308,53,25,9,75,137,432,192,79,53,1,0,2,F,1973,1974,1,30,0
N,27,0,191,0,0,0,38,0,0,0,73,218,73,73,45,0,0,1,G,1948,1948,1,56,0
N,41,395,167,21,37,58,18,11,15,27,45,129,50,85,58,25,9,1,G,1994,1994,1,10,0
N,10,74,30,1,6,7,14,1,1,7,10,22,11,9,7,6,1,1,G,1994,1994,1,10,0
N,138,5100,2845,195,449,644,795,207,116,517,370,2116,1001,1074,814,98,29,2,G,2003,2004,0,0,0
N,18,89,36,5,6,11,6,5,1,8,14,49,14,11,7,4,1,1,F,1987,1987,1,17,0
A,116,4438,2684,0,331,1343,680,275,21,508,414,2120,1024,785,621,57,15,11,F,1965,1975,1,29,1
N,7,32,9,2,1,3,3,1,0,2,2,12,3,2,0,5,3,2,F,1995,1996,1,8,0
N,76,1859,782,39,113,152,142,55,11,109,135,748,295,161,111,281,81,1,G,2004,2004,0,0,0
N,110,0,660,0,0,0,68,0,0,0,271,913,256,222,148,0,0,3,G,1946,1948,1,56,0
A,46,554,176,0,0,78,73,0,0,40,85,153,55,103,62,9,4,1,G,1967,1967,1,37,0
N,20,0,32,0,0,0,0,0,0,0,8,40,11,15,10,0,0,1,F,1946,1946,1,58,0
N,69,530,199,0,0,67,48,0,0,0,61,199,77,66,45,0,0,2,G,1968,1969,1,35,0
N,343,6782,2338,0,0,1626,433,0,0,0,1047,2154,790,1003,758,0,0,6,F,1952,1957,1,47,0
N,629,17983,8094,367,1407,1774,1296,525,197,768,1275,7111,2962,1206,956,3060,1214,10,F,1990,1999,1,5,0
N,62,0,710,0,0,0,201,0,0,0,250,794,259,236,192,0,0,1,G,1949,1949,1,55,0
N,503,15517,8535,1362,2580,3942,1287,675,155,1101,1078,7293,3564,1763,1406,10,1,7,F,1976,1982,1,22,0
N,223,3437,1369,247,641,888,121,61,177,154,478,1049,568,363,233,0,0,4,C,1999,2002,1,2,0
N,35,204,44,3,17,20,3,4,0,15,34,42,13,23,18,0,0,2,F,1978,1979,1,25,0
N,4,17,3,1,3,4,1,1,2,2,4,3,1,2,1,0,0,1,C,1997,1997,1,7,0
A,145,1939,623,0,0,417,95,0,0,5,274,508,214,247,195,1,0,3,F,1969,1971,1,33,0
A,94,2343,1423,0,0,439,404,0,0,290,277,1031,511,497,401,5,0,14,F,1956,1969,1,35,1
A,187,5300,2500,0,0,592,730,0,0,39,473,2215,974,614,458,303,94,4,G,1969,1972,1,32,0
N,3,10,4,0,2,2,0,2,1,1,5,2,0,6,4,0,0,1,F,1989,1989,1,15,0
N,60,0,210,0,0,0,31,0,0,0,108,356,87,72,36,0,0,1,F,1946,1946,1,58,0
N,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,F,1953,1953,1,51,0
N,37,0,30,0,0,0,52,0,0,0,30,70,9,15,12,0,0,1,G,1949,1949,1,55,0
N,529,11432,5541,1091,2118,3209,560,563,84,769,1963,4533,2185,1561,1169,8,2,7,F,1975,1981,1,23,0
N,766,16452,6230,1456,3057,4513,911,429,397,771,2077,5216,2459,1772,1311,2,1,10,F,1973,1982,1,22,0
N,123,0,602,0,0,0,149,0,0,0,231,403,159,367,284,0,0,2,G,1948,1949,1,55,0
N,345,5803,3011,272,430,702,486,171,40,422,696,2585,1216,668,557,87,22,6,G,1978,1983,1,21,0
A,5,19,2,0,0,1,0,0,0,0,8,4,1,0,0,0,0,1,G,1969,1969,1,35,0
N,11,29,13,5,9,14,1,1,2,5,5,7,3,12,7,0,0,1,F,1990,1990,1,14,0
N,924,30165,16960,0,0,4786,6955,0,0,0,2242,16468,6168,5756,4624,0,0,20,G,1950,1969,1,35,1
N,10,59,30,0,0,6,6,0,0,0,9,28,8,16,14,0,0,1,G,1955,1955,1,49,0
N,622,14667,5836,0,0,1694,2341,0,0,0,1363,5826,2039,2219,1758,0,0,13,G,1947,1959,1,45,0
A,210,4861,2962,0,0,1306,207,0,0,256,597,2216,1060,1047,841,18,1,7,F,1964,1970,1,34,0
N,12,0,22,0,0,25,3,0,0,0,14,38,8,9,6,0,0,1,F,1950,1950,1,54,0
N,58,583,153,47,100,147,15,19,23,20,69,113,68,40,17,0,0,2,F,1985,1986,1,18,0
N,34,0,119,0,0,0,25,0,0,0,24,119,34,75,51,0,0,1,F,1948,1948,1,56,0
A,138,4091,2190,0,0,741,279,0,0,297,331,1759,659,880,749,447,123,2,G,1967,1968,1,36,0
N,964,25676,11755,248,740,2732,2767,300,157,84,2453,10019,4890,2398,1975,0,0,13,G,1966,1978,1,26,0
N,600,16789,6652,275,1251,1526,3881,500,29,1497,1343,5259,2290,1741,1548,1381,524,10,G,1986,1995,1,9,0
N,33,153,125,0,0,52,7,0,0,0,19,116,51,26,23,0,0,4,F,1972,1975,1,29,0
N,701,15378,6384,0,0,2395,3759,0,0,0,1925,6318,2323,2499,1738,0,0,11,G,1947,1957,1,47,1
N,264,4852,1542,276,585,1368,318,106,67,0,655,1586,665,307,212,0,0,4,F,1972,1975,1,29,0
N,731,16278,7302,1008,2402,3410,1384,644,285,1372,2298,5538,2873,2028,1501,170,55,13,F,1984,1996,1,8,0
N,746,26171,8770,540,1269,3596,5217,767,71,249,2661,8003,3313,2749,2144,0,0,10,G,1969,1978,1,26,0
A,487,16762,7667,0,2416,5406,1163,180,751,982,1574,6276,3149,1891,1369,13,0,15,C,1970,1984,1,20,0
N,654,19254,12194,0,0,5749,1318,0,0,0,2454,11787,4773,3353,2648,0,0,9,F,1956,1964,1,40,1
N,57,776,316,42,83,125,77,33,9,76,112,300,141,48,33,5,1,1,F,1979,1979,1,25,0
N,516,18298,10023,0,0,5856,1269,0,0,0,1681,7435,3303,4447,3417,0,0,8,C,1951,1958,1,46,1
N,120,723,302,0,0,187,115,0,0,0,199,338,112,113,78,0,0,2,G,1950,1951,1,53,0
N,766,29565,13516,1574,5122,10444,2910,599,488,543,2920,12499,5744,2590,2027,14,1,13,C,1970,1982,1,22,1
N,12,97,28,9,8,17,4,3,3,5,10,26,9,12,10,0,0,1,F,1978,1978,1,26,0
N,10,70,33,13,14,27,3,1,2,2,7,26,14,7,5,0,0,1,F,1981,1981,1,23,0
N,875,31202,14053,134,623,9618,2497,67,39,0,2801,13249,5722,3730,2609,0,0,12,F,1962,1973,1,31,1
N,15,0,15,0,0,0,0,0,0,0,6,26,5,10,5,0,0,1,G,1946,1946,1,58,0
