league,games,minutes,pts,offReb,defReb,reb,asts,stl,blk,turnover,pf,fga,fgm,fta,ftm,tpa,tpm,totalSeasons,Position,firstSeason,lastSeason,careerEnded,yrsRetired2004,class
N,42,230,66,20,17,37,10,6,6,10,46,79,28,17,9,2,1,21,F,1984,2004,0,0,0
A,4,13,8,0,0,0,1,0,0,0,3,9,3,0,0,5,2,1,G,1971,1971,1,33,0
N,268,4074,1317,253,683,936,102,85,343,328,807,1130,557,329,203,2,0,7,C,1998,2004,0,0,0
N,54,866,256,36,84,120,26,32,20,44,124,249,100,48,28,71,28,3,F,1997,1999,1,5,0
N,59,475,204,27,37,64,17,12,1,37,30,203,74,80,53,15,3,2,G,1992,1993,1,11,0
N,88,835,385,0,0,140,69,0,0,0,153,401,146,157,93,0,0,2,G,1970,1971,1,33,0
N,278,5539,2187,242,731,973,225,132,117,242,512,2125,903,394,315,194,66,4,C,2001,2004,0,0,0
N,66,1018,227,0,0,158,115,0,0,0,158,292,95,55,37,0,0,1,G,1961,1961,1,43,0
N,210,3110,819,165,444,609,220,80,52,178,340,786,309,190,152,158,49,4,F,2001,2004,0,0,0
N,229,0,3579,0,0,0,416,0,0,0,893,3605,1276,1473,1027,0,0,4,C,1946,1949,1,55,0
N,97,808,347,25,51,76,161,50,6,116,143,272,138,142,65,21,6,2,G,1981,1982,1,22,0
N,133,1628,571,0,0,517,73,0,0,0,293,516,237,198,97,0,0,4,C,1961,1964,1,40,0
N,120,2370,756,76,151,227,357,142,16,17,241,665,297,206,162,1,0,2,G,1973,1974,1,30,0
N,31,268,119,0,0,29,43,0,0,0,19,122,48,33,23,0,0,1,G,1962,1962,1,42,0
N,480,10369,3061,1106,1776,2882,273,183,149,518,1176,2545,1202,1081,654,19,3,12,F,1989,2000,1,4,0
N,506,9865,4366,773,1503,2276,504,223,174,599,1096,3580,1792,1210,778,50,4,9,F,1995,2003,1,1,0
N,361,7461,2062,30,86,1994,469,9,10,0,792,2031,891,499,280,0,0,7,F,1968,1974,1,30,0
N,21,224,82,24,25,49,9,3,1,14,30,72,35,26,12,1,0,1,F,1999,1999,1,5,0
N,1122,39788,21586,0,0,5665,4540,0,0,0,3855,18811,8504,5717,4578,0,0,15,G,1958,1972,1,32,1
N,669,14807,5439,1285,2479,3764,603,311,810,737,2253,4244,2170,1598,1098,3,1,10,C,1975,1984,1,20,0
N,761,13310,4102,1276,2232,3508,744,349,715,767,1666,3454,1699,1134,704,5,0,10,C,1978,1987,1,17,0
N,213,3867,1658,333,504,837,265,89,13,256,501,1650,679,429,300,1,0,7,F,1977,1983,1,21,0
N,34,272,107,0,0,100,16,0,0,0,61,106,44,25,19,0,0,4,C,1968,1971,1,33,0
N,935,27764,12810,2229,4722,6951,2141,701,1073,2104,2692,10306,5191,3707,2427,12,1,13,C,1978,1990,1,14,0
N,10,110,27,12,13,25,3,3,4,2,19,31,10,12,7,0,0,1,F,2004,2004,0,0,0
N,825,30965,15581,403,1523,4830,5040,681,59,139,2180,12516,6130,4226,3321,1,0,13,G,1967,1979,1,25,1
N,6,52,21,0,0,11,3,0,0,0,6,20,10,5,1,0,0,1,C,1967,1967,1,37,0
N,36,381,157,26,49,75,37,14,1,36,64,140,63,42,24,18,7,1,F,1979,1979,1,25,0
N,526,19795,12086,573,2859,3432,1957,929,420,1615,1580,9169,3985,4078,3238,2455,878,7,G,1998,2004,0,0,0
N,80,688,224,54,39,93,45,33,9,44,99,205,84,76,55,3,1,3,G,1981,1983,1,21,0
N,4,38,6,1,4,5,7,5,2,3,3,13,3,2,0,0,0,1,G,1977,1977,1,27,0
N,46,0,87,0,0,0,36,0,0,0,51,134,36,38,15,0,0,1,G,1949,1949,1,55,0
N,745,21731,13447,0,0,5116,2242,0,0,0,2388,11630,5239,3722,2969,0,0,14,F,1956,1969,1,35,1
N,375,5982,1343,581,944,1525,180,137,104,235,932,1016,514,463,308,13,7,6,C,1987,1992,1,12,0
N,507,16927,7165,471,1512,1983,1295,811,221,621,893,6337,2779,1171,913,1838,694,9,G,1996,2004,0,0,0
N,403,8399,3488,974,2089,3063,303,177,92,614,1434,2453,1154,1500,1178,11,2,8,F,1997,2004,0,0,0
N,115,0,686,0,0,0,212,0,0,0,192,681,225,304,236,0,0,2,G,1948,1949,1,55,0
N,42,342,144,22,43,65,9,8,6,15,37,120,55,52,34,1,0,1,F,1981,1981,1,23,0
N,687,14970,4337,633,1228,1861,2669,1085,64,914,1036,3618,1639,1378,1037,109,22,13,G,1982,1994,1,10,0
N,81,633,187,25,55,80,73,20,2,81,83,192,68,72,51,0,0,2,G,1978,1979,1,25,0
N,362,6814,2372,0,0,1888,380,0,0,0,882,2409,1012,523,348,0,0,6,F,1958,1963,1,41,0
N,1045,47859,31419,0,0,23924,4643,0,0,0,2075,23497,12681,11862,6057,0,0,14,C,1959,1972,1,32,1
N,464,9878,4214,831,1779,2610,817,432,284,879,1349,3684,1704,1008,785,111,21,8,F,1978,1985,1,19,0
N,154,1559,1352,0,0,215,205,0,0,0,557,1407,444,657,464,0,0,5,F,1948,1952,1,52,0
N,127,0,926,0,0,242,226,0,0,0,434,1023,326,437,274,0,0,2,G,1949,1950,1,54,0
A,12,127,48,0,0,23,5,0,0,13,30,39,19,14,10,0,0,1,F,1967,1967,1,37,0
N,508,11882,5118,339,922,1261,2467,830,69,991,981,4310,1889,1329,1044,863,296,9,G,1991,1999,1,5,0
A,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,F,1971,1971,1,33,0
N,24,123,84,10,20,30,7,7,4,16,23,98,37,19,9,2,1,1,F,1980,1980,1,24,0
N,1193,38063,25613,2778,3760,6538,4351,1067,833,2821,3027,21036,10659,5141,4277,83,18,15,F,1976,1990,1,14,1
A,58,1137,358,0,0,140,101,0,0,106,148,372,110,203,137,18,1,2,G,1967,1968,1,36,0
N,358,6571,2124,277,882,1159,360,241,139,286,732,2010,785,443,322,669,232,6,F,1999,2004,0,0,0
N,9,0,15,0,0,0,6,0,0,0,13,27,6,5,3,0,0,1,F,1949,1949,1,55,0
N,30,384,109,47,71,118,12,12,24,12,87,78,45,40,19,1,0,1,F,2004,2004,0,0,0
N,68,1330,460,10,94,104,224,35,4,125,120,430,169,133,105,69,17,1,G,2004,2004,0,0,0
N,272,4568,2016,0,0,767,545,0,0,0,658,2153,846,475,324,0,0,5,G,1960,1964,1,40,0
A,125,2668,786,0,0,1039,181,0,0,155,441,787,305,321,176,2,0,2,C,1967,1968,1,36,0
N,926,30001,16320,1561,3147,4708,2791,1041,624,1859,1975,13204,6878,3184,2447,486,117,12,F,1982,1993,1,11,1
N,1278,36555,12331,3354,6119,9473,1400,1033,545,1434,2436,9202,4544,4250,3119,489,124,16,F,1985,2000,1,4,0
N,713,24897,16266,0,0,6129,1665,0,0,0,2764,13354,5628,6189,5010,0,0,12,F,1950,1961,1,43,1
N,118,2132,832,68,214,282,99,88,12,0,112,902,359,150,114,0,0,2,G,1975,1976,1,28,0
N,52,628,180,66,117,183,33,17,23,48,100,169,73,55,34,2,0,1,G,1979,1979,1,25,0
N,95,1143,310,42,78,120,108,48,15,68,151,282,123,84,61,9,3,2,F,1991,1992,1,12,0
A,25,342,127,0,0,72,20,0,0,25,76,128,54,32,19,2,0,5,F,1968,1972,1,32,0
N,157,1970,751,186,253,439,110,107,39,131,251,658,306,249,139,9,0,3,F,1982,1984,1,20,0
A,414,10554,5160,0,0,2604,410,0,0,447,1411,4408,2116,1101,919,28,9,6,F,1967,1972,1,32,0
N,291,5188,1731,66,319,385,1022,244,29,350,393,1553,720,363,272,90,19,5,G,1980,1984,1,20,0
N,476,9189,3823,134,543,677,1661,353,40,637,860,3154,1554,868,712,48,3,8,G,1978,1985,1,19,0
N,499,17234,8233,332,876,3971,2052,244,150,0,1459,6453,3013,2811,2207,0,0,9,F,1967,1975,1,29,1
N,2,10,4,0,0,0,1,0,0,0,1,3,2,0,0,1,0,1,F,1986,1986,1,18,0
A,85,1129,450,0,0,210,121,0,1,89,142,443,182,123,85,9,1,5,G,1968,1972,1,32,0
N,214,2674,835,237,411,648,114,103,86,173,543,673,307,312,211,39,10,4,F,1992,1995,1,9,0
N,1,4,2,0,0,0,0,0,0,0,1,3,1,0,0,0,0,1,F,1963,1963,1,41,0
N,14,147,68,3,8,11,8,5,0,10,15,55,16,38,33,12,3,5,G,1990,1994,1,10,0
N,249,4147,1448,188,416,604,252,161,62,254,451,1274,550,455,300,147,48,4,G,1998,2001,1,3,0
N,64,346,98,41,56,97,20,13,15,26,71,87,35,46,28,0,0,2,C,1992,1993,1,11,0
N,102,1395,323,128,246,374,112,35,40,71,196,329,134,96,55,0,0,3,C,1983,1985,1,19,0
N,19,110,28,0,0,39,3,0,0,0,13,37,11,12,6,0,0,1,C,1956,1956,1,48,0
A,500,15025,6140,0,680,1251,2420,319,36,936,1158,4757,2239,2088,1646,55,16,8,G,1970,1977,1,27,0
A,16,154,41,0,0,49,8,0,0,0,34,34,17,17,7,0,0,1,C,1970,1970,1,34,0
A,321,9589,3815,0,0,2554,507,0,0,467,1118,3315,1476,1262,863,16,0,4,F,1967,1970,1,34,0
